sample_name	sampling_time	treatment	depth	replicate
T0_NK_1_D1	0	NK	1	1
T0_NK_1_D2	0	NK	2	1
T0_NK_1_D3	0	NK	3	1
T0_NK_1_D4	0	NK	4	1
T0_NK_1_D5	0	NK	5	1
T0_NK_2_D1	0	NK	1	2
T0_NK_2_D2	0	NK	2	2
T0_NK_2_D3	0	NK	3	2
T0_NK_2_D4	0	NK	4	2
T0_NK_2_D5	0	NK	5	2
T63_NK_1_D1	63	NK	1	1
T63_NK_1_D2	63	NK	2	1
T63_NK_1_D3	63	NK	3	1
T63_NK_1_D4	63	NK	4	1
T63_NK_1_D5	63	NK	5	1
T63_K1_1_D1	63	K1	1	1
T63_K1_1_D2	63	K1	2	1
T63_K1_1_D3	63	K1	3	1
T63_K1_1_D4	63	K1	4	1
T63_K1_1_D5	63	K1	5	1
T63_K2_1_D1	63	K2	1	1
T63_K2_1_D2	63	K2	2	1
T63_K2_1_D3	63	K2	3	1
T63_K2_1_D4	63	K2	4	1
T63_K2_1_D5	63	K2	5	1
T63_K3_1_D1	63	K3	1	1
T63_K3_1_D2	63	K3	2	1
T63_K3_1_D3	63	K3	3	1
T63_K3_1_D4	63	K3	4	1
T63_K3_1_D5	63	K3	5	1
T63_NK_2_D1	63	NK	1	2
T63_NK_2_D2	63	NK	2	2
T63_NK_2_D3	63	NK	3	2
T63_NK_2_D4	63	NK	4	2
T63_NK_2_D5	63	NK	5	2
T63_K1_2_D1	63	K1	1	2
T63_K1_2_D2	63	K1	2	2
T63_K1_2_D3	63	K1	3	2
T63_K1_2_D4	63	K1	4	2
T63_K1_2_D5	63	K1	5	2
T63_K2_2_D1	63	K2	1	2
T63_K2_2_D2	63	K2	2	2
T63_K2_2_D3	63	K2	3	2
T63_K2_2_D4	63	K2	4	2
T63_K2_2_D5	63	K2	5	2
T63_K3_2_D1	63	K3	1	2
T63_K3_2_D2	63	K3	2	2
T63_K3_2_D3	63	K3	3	2
T63_K3_2_D4	63	K3	4	2
T63_K3_2_D5	63	K3	5	2
T84_NK_1_D1	84	NK	1	1
T84_NK_1_D2	84	NK	2	1
T84_NK_1_D3	84	NK	3	1
T84_NK_1_D4	84	NK	4	1
T84_NK_1_D5	84	NK	5	1
T84_K1_1_D1	84	K1	1	1
T84_K1_1_D2	84	K1	2	1
T84_K1_1_D3	84	K1	3	1
T84_K1_1_D4	84	K1	4	1
T84_K1_1_D5	84	K1	5	1
T84_K2_1_D1	84	K2	1	1
T84_K2_1_D2	84	K2	2	1
T84_K2_1_D3	84	K2	3	1
T84_K2_1_D4	84	K2	4	1
T84_K2_1_D5	84	K2	5	1
T84_K3_1_D1	84	K3	1	1
T84_K3_1_D2	84	K3	2	1
T84_K3_1_D3	84	K3	3	1
T84_K3_1_D4	84	K3	4	1
T84_K3_1_D5	84	K3	5	1
T84_NK_2_D1	84	NK	1	2
T84_NK_2_D2	84	NK	2	2
T84_NK_2_D3	84	NK	3	2
T84_NK_2_D4	84	NK	4	2
T84_NK_2_D5	84	NK	5	2
T84_K1_2_D1	84	K1	1	2
T84_K1_2_D2	84	K1	2	2
T84_K1_2_D3	84	K1	3	2
T84_K1_2_D4	84	K1	4	2
T84_K1_2_D5	84	K1	5	2
T84_K2_2_D1	84	K2	1	2
T84_K2_2_D2	84	K2	2	2
T84_K2_2_D3	84	K2	3	2
T84_K2_2_D4	84	K2	4	2
T84_K2_2_D5	84	K2	5	2
T84_K3_2_D1	84	K3	1	2
T84_K3_2_D2	84	K3	2	2
T84_K3_2_D3	84	K3	3	2
T84_K3_2_D4	84	K3	4	2
T84_K3_2_D5	84	K3	5	2
Undetermined	99	NN	0	0
